DNA_plate	DNA_well	old_sample_name	sample_title	bioproject_accession	*organism	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*host	*lat_lon	altitude	chem_administration	host_body_habitat	host_diet	host_last_meal	host_life_stage	host_sex	isolation_source	perturbation	samp_collect_device	samp_mat_process	samp_size	samp_store_temp	samp_vol_we_dna_ext	description	PigPen	Cohort	Dysentery	date of sample	pig ID	alt_sample_name	replicate	r1_filename	r2_filename
plate_10	E7	Fe16/29778			Gut microflora metagenomics	2017-02-16	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29778					-80C			2C		0.0	Fe16	29778	29778-170216-01	1	combined_new/plate_10_E7.r1.fastq.gz	combined_new/plate_10_E7.r2.fastq.gz
plate_10	B5	Fe16/29792			Gut microflora metagenomics	2017-02-16	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29792					-80C			2A		0.0	Fe16	29792	29792-170216-01	1	combined_new/plate_10_B5.r1.fastq.gz	combined_new/plate_10_B5.r2.fastq.gz
plate_9	H8	Fe16/29863			Gut microflora metagenomics	2017-02-16	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29863					-80C			3A		0.0	Fe16	29863	29863-170216-01	1	combined_new/plate_9_H8.r1.fastq.gz	combined_new/plate_9_H8.r2.fastq.gz
plate_9	D2	Fe16/29901			Gut microflora metagenomics	2017-02-16	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29901					-80C			3B		0.0	Fe16	29901	29901-170216-01	1	combined_new/plate_9_D2.r1.fastq.gz	combined_new/plate_9_D2.r2.fastq.gz
plate_9	B3	Fe16/29914			Gut microflora metagenomics	2017-02-16	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29914					-80C			2B		0.0	Fe16	29914	29914-170216-01	1	combined_new/plate_9_B3.r1.fastq.gz	combined_new/plate_9_B3.r2.fastq.gz
plate_9	C5	Fe17/14171			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14171					-80C			3E		0.0	Fe17	14171	14171-170217-01	1	combined_new/plate_9_C5.r1.fastq.gz	combined_new/plate_9_C5.r2.fastq.gz
plate_10	H4	Fe17/14174			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14174					-80C			2D		0.0	Fe17	14174	14174-170217-01	1	combined_new/plate_10_H4.r1.fastq.gz	combined_new/plate_10_H4.r2.fastq.gz
plate_9	G4	Fe17/14193			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14193					-80C			2E		0.0	Fe17	14193	14193-170217-01	1	combined_new/plate_9_G4.r1.fastq.gz	combined_new/plate_9_G4.r2.fastq.gz
plate_10	C4	Fe17/14201			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14201					-80C			2E		0.0	Fe17	14201	14201-170217-01	1	combined_new/plate_10_C4.r1.fastq.gz	combined_new/plate_10_C4.r2.fastq.gz
plate_9	D1	Fe17/14298			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14298					-80C			2F		0.0	Fe17	14298	14298-170217-01	1	combined_new/plate_9_D1.r1.fastq.gz	combined_new/plate_9_D1.r2.fastq.gz
plate_9	B9	Fe17/29645			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29645					-80C			3F		0.0	Fe17	29645	29645-170217-01	1	combined_new/plate_9_B9.r1.fastq.gz	combined_new/plate_9_B9.r2.fastq.gz
plate_10	F6	Fe17/29655			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29655					-80C			3E		0.0	Fe17	29655	29655-170217-01	1	combined_new/plate_10_F6.r1.fastq.gz	combined_new/plate_10_F6.r2.fastq.gz
plate_9	G6	Fe17/29691			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29691					-80C			2D		0.0	Fe17	29691	29691-170217-01	1	combined_new/plate_9_G6.r1.fastq.gz	combined_new/plate_9_G6.r2.fastq.gz
plate_10	D2	Fe17/29745			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29745					-80C			3F		0.0	Fe17	29745	29745-170217-01	1	combined_new/plate_10_D2.r1.fastq.gz	combined_new/plate_10_D2.r2.fastq.gz
plate_10	E5	Fe17/29754			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29754					-80C			2F		0.0	Fe17	29754	29754-170217-01	1	combined_new/plate_10_E5.r1.fastq.gz	combined_new/plate_10_E5.r2.fastq.gz
plate_9	D6	Fe17/29900			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29900					-80C			3D		0.0	Fe17	29900	29900-170217-01	1	combined_new/plate_9_D6.r1.fastq.gz	combined_new/plate_9_D6.r2.fastq.gz
plate_10	B4	Fe17/29943			Gut microflora metagenomics	2017-02-17	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29943					-80C			3D		0.0	Fe17	29943	29943-170217-01	1	combined_new/plate_10_B4.r1.fastq.gz	combined_new/plate_10_B4.r2.fastq.gz
plate_4	A10	Fe21/14159			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14159					-80C			2A		0.0	Fe21	14159	14159-170221-01	1	combined_new/plate_4_A10.r1.fastq.gz	combined_new/plate_4_A10.r2.fastq.gz
plate_1	D4	Fe21/14183			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14183					-80C			3B		0.0	Fe21	14183	14183-170221-01	1	combined_new/plate_1_D4.r1.fastq.gz	combined_new/plate_1_D4.r2.fastq.gz
plate_4	H7	Fe21/14184			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Ex Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14184					-80C			1C		0.0	Fe21	14184	14184-170221-01	1	combined_new/plate_4_H7.r1.fastq.gz	combined_new/plate_4_H7.r2.fastq.gz
plate_3	E1	Fe21/14186			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14186					-80C			3F		0.0	Fe21	14186	14186-170221-01	1	combined_new/plate_3_E1.r1.fastq.gz	combined_new/plate_3_E1.r2.fastq.gz
plate_6	B9	Fe21/14187			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Ex Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14187					-80C			1A		0.0	Fe21	14187	14187-170221-01	1	combined_new/plate_6_B9.r1.fastq.gz	combined_new/plate_6_B9.r2.fastq.gz
plate_3	B9	Fe21/14188			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14188					-80C			3A		0.0	Fe21	14188	14188-170221-01	1	combined_new/plate_3_B9.r1.fastq.gz	combined_new/plate_3_B9.r2.fastq.gz
plate_1	A1	Fe21/14194			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14194					-80C			2D		0.0	Fe21	14194	14194-170221-01	1	combined_new/plate_1_A1.r1.fastq.gz	combined_new/plate_1_A1.r2.fastq.gz
plate_1	B9	Fe21/14195			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14195					-80C			3E		0.0	Fe21	14195	14195-170221-01	1	combined_new/plate_1_B9.r1.fastq.gz	combined_new/plate_1_B9.r2.fastq.gz
plate_1	F2	Fe21/14205			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14205					-80C			2A		0.0	Fe21	14205	14205-170221-01	1	combined_new/plate_1_F2.r1.fastq.gz	combined_new/plate_1_F2.r2.fastq.gz
plate_2	B12	Fe21/14208			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14208					-80C			4B		0.0	Fe21	14208	14208-170221-01	1	combined_new/plate_2_B12.r1.fastq.gz	combined_new/plate_2_B12.r2.fastq.gz
plate_4	A1	Fe21/14209			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14209					-80C			3A		0.0	Fe21	14209	14209-170221-01	1	combined_new/plate_4_A1.r1.fastq.gz	combined_new/plate_4_A1.r2.fastq.gz
plate_3	H4	Fe21/14260			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14260					-80C			3E		0.0	Fe21	14260	14260-170221-01	1	combined_new/plate_3_H4.r1.fastq.gz	combined_new/plate_3_H4.r2.fastq.gz
plate_2	G5	Fe21/14261			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14261					-80C			3F		0.0	Fe21	14261	14261-170221-01	1	combined_new/plate_2_G5.r1.fastq.gz	combined_new/plate_2_G5.r2.fastq.gz
plate_1	B1	Fe21/14262			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14262					-80C			2B		0.0	Fe21	14262	14262-170221-01	1	combined_new/plate_1_B1.r1.fastq.gz	combined_new/plate_1_B1.r2.fastq.gz
plate_3	C9	Fe21/14263			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14263					-80C			3D		0.0	Fe21	14263	14263-170221-01	1	combined_new/plate_3_C9.r1.fastq.gz	combined_new/plate_3_C9.r2.fastq.gz
plate_4	H2	Fe21/14265			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14265					-80C			4A		0.0	Fe21	14265	14265-170221-01	1	combined_new/plate_4_H2.r1.fastq.gz	combined_new/plate_4_H2.r2.fastq.gz
plate_1	G12	Fe21/14274			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14274					-80C			3D		0.0	Fe21	14274	14274-170221-01	1	combined_new/plate_1_G12.r1.fastq.gz	combined_new/plate_1_G12.r2.fastq.gz
plate_1	E9	Fe21/14275			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14275					-80C			3C		0.0	Fe21	14275	14275-170221-01	1	combined_new/plate_1_E9.r1.fastq.gz	combined_new/plate_1_E9.r2.fastq.gz
plate_2	A3	Fe21/14276			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14276					-80C			2B		0.0	Fe21	14276	14276-170221-01	1	combined_new/plate_2_A3.r1.fastq.gz	combined_new/plate_2_A3.r2.fastq.gz
plate_1	G8	Fe21/14284			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14284					-80C			3C		0.0	Fe21	14284	14284-170221-01	1	combined_new/plate_1_G8.r1.fastq.gz	combined_new/plate_1_G8.r2.fastq.gz
plate_1	C4	Fe21/14286			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Ex Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14286					-80C			1B		0.0	Fe21	14286	14286-170221-01	1	combined_new/plate_1_C4.r1.fastq.gz	combined_new/plate_1_C4.r2.fastq.gz
plate_1	A9	Fe21/14287			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14287					-80C			2F		0.0	Fe21	14287	14287-170221-01	1	combined_new/plate_1_A9.r1.fastq.gz	combined_new/plate_1_A9.r2.fastq.gz
plate_2	A11	Fe21/14288			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14288					-80C			3C		0.0	Fe21	14288	14288-170221-01	1	combined_new/plate_2_A11.r1.fastq.gz	combined_new/plate_2_A11.r2.fastq.gz
plate_1	H9	Fe21/14295			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14295					-80C			2D		0.0	Fe21	14295	14295-170221-01	1	combined_new/plate_1_H9.r1.fastq.gz	combined_new/plate_1_H9.r2.fastq.gz
plate_1	A12	Fe21/14297			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14297					-80C			3D		0.0	Fe21	14297	14297-170221-01	1	combined_new/plate_1_A12.r1.fastq.gz	combined_new/plate_1_A12.r2.fastq.gz
plate_1	C7	Fe21/14305			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14305					-80C			4B		0.0	Fe21	14305	14305-170221-01	1	combined_new/plate_1_C7.r1.fastq.gz	combined_new/plate_1_C7.r2.fastq.gz
plate_3	A4	Fe21/14306			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14306					-80C			3B		0.0	Fe21	14306	14306-170221-01	1	combined_new/plate_3_A4.r1.fastq.gz	combined_new/plate_3_A4.r2.fastq.gz
plate_1	B11	Fe21/14307			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14307					-80C			3A		0.0	Fe21	14307	14307-170221-01	1	combined_new/plate_1_B11.r1.fastq.gz	combined_new/plate_1_B11.r2.fastq.gz
plate_3	F6	Fe21/14308			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14308					-80C			3B		0.0	Fe21	14308	14308-170221-01	1	combined_new/plate_3_F6.r1.fastq.gz	combined_new/plate_3_F6.r2.fastq.gz
plate_2	E12	Fe21/14317			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14317					-80C			2C		0.0	Fe21	14317	14317-170221-01	1	combined_new/plate_2_E12.r1.fastq.gz	combined_new/plate_2_E12.r2.fastq.gz
plate_4	B9	Fe21/14320			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14320					-80C			2F		0.0	Fe21	14320	14320-170221-01	1	combined_new/plate_4_B9.r1.fastq.gz	combined_new/plate_4_B9.r2.fastq.gz
plate_5	E11	Fe21/14322			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Ex Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	14322					-80C			1A		0.0	Fe21	14322	14322-170221-01	1	combined_new/plate_5_E11.r1.fastq.gz	combined_new/plate_5_E11.r2.fastq.gz
plate_2	H5	Fe21/29643			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29643					-80C			3F		0.0	Fe21	29643	29643-170221-01	1	combined_new/plate_2_H5.r1.fastq.gz	combined_new/plate_2_H5.r2.fastq.gz
plate_1	A3	Fe21/29644			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29644					-80C			2B		0.0	Fe21	29644	29644-170221-01	1	combined_new/plate_1_A3.r1.fastq.gz	combined_new/plate_1_A3.r2.fastq.gz
plate_2	G10	Fe21/29646			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29646					-80C			3F		0.0	Fe21	29646	29646-170221-01	1	combined_new/plate_2_G10.r1.fastq.gz	combined_new/plate_2_G10.r2.fastq.gz
plate_4	F3	Fe21/29652			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29652					-80C			2D		0.0	Fe21	29652	29652-170221-01	1	combined_new/plate_4_F3.r1.fastq.gz	combined_new/plate_4_F3.r2.fastq.gz
plate_1	C3	Fe21/29653			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29653					-80C			4A		0.0	Fe21	29653	29653-170221-01	1	combined_new/plate_1_C3.r1.fastq.gz	combined_new/plate_1_C3.r2.fastq.gz
plate_4	H6	Fe21/29654			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Ex Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29654					-80C			1C		0.0	Fe21	29654	29654-170221-01	1	combined_new/plate_4_H6.r1.fastq.gz	combined_new/plate_4_H6.r2.fastq.gz
plate_2	C2	Fe21/29665			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Ex Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29665					-80C			1B		1.0	Fe21	29665	29665-170221-01	1	combined_new/plate_2_C2.r1.fastq.gz	combined_new/plate_2_C2.r2.fastq.gz
plate_3	D1	Fe21/29666			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Ex Placebo	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29666					-80C			1C		0.0	Fe21	29666	29666-170221-01	1	combined_new/plate_3_D1.r1.fastq.gz	combined_new/plate_3_D1.r2.fastq.gz
plate_2	B11	Fe21/29667			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29667					-80C			2F		0.0	Fe21	29667	29667-170221-01	1	combined_new/plate_2_B11.r1.fastq.gz	combined_new/plate_2_B11.r2.fastq.gz
plate_4	D11	Fe21/29668			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29668					-80C			4A		0.0	Fe21	29668	29668-170221-01	1	combined_new/plate_4_D11.r1.fastq.gz	combined_new/plate_4_D11.r2.fastq.gz
plate_1	A5	Fe21/29679			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29679					-80C			3D		0.0	Fe21	29679	29679-170221-01	1	combined_new/plate_1_A5.r1.fastq.gz	combined_new/plate_1_A5.r2.fastq.gz
plate_3	H2	Fe21/29694			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29694					-80C			4C		0.0	Fe21	29694	29694-170221-01	1	combined_new/plate_3_H2.r1.fastq.gz	combined_new/plate_3_H2.r2.fastq.gz
plate_2	C8	Fe21/29700			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29700					-80C			3B		0.0	Fe21	29700	29700-170221-01	1	combined_new/plate_2_C8.r1.fastq.gz	combined_new/plate_2_C8.r2.fastq.gz
plate_4	D8	Fe21/29702			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex ColiGuard	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29702					-80C			3E		0.0	Fe21	29702	29702-170221-01	1	combined_new/plate_4_D8.r1.fastq.gz	combined_new/plate_4_D8.r2.fastq.gz
plate_1	C5	Fe21/29703			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin - Ex D-scour	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29703					-80C			2E		0.0	Fe21	29703	29703-170221-01	1	combined_new/plate_1_C5.r1.fastq.gz	combined_new/plate_1_C5.r2.fastq.gz
plate_2	G2	Fe21/29704			Gut microflora metagenomics	2017-02-21	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex ColiGuard 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	29704					-80C			3C		0.0	Fe21	29704	29704-170221-01	1	combined_new/plate_2_G2.r1.fastq.gz	combined_new/plate_2_G2.r2.fastq.gz
